,type,artist,prompt,evaluation_seed
0,0,Brent Heighton,Image in the style of Brent Heighton,1
1,0,Brent Heighton,Image in the style of Brent Heighton,2
2,0,Brent Heighton,Image in the style of Brent Heighton,3
3,0,Brent Heighton,Image in the style of Brent Heighton,4
4,0,Brent Heighton,Image in the style of Brent Heighton,5
5,0,Brent Heighton,Art inspired by Brent Heighton,1
6,0,Brent Heighton,Art inspired by Brent Heighton,2
7,0,Brent Heighton,Art inspired by Brent Heighton,3
8,0,Brent Heighton,Art inspired by Brent Heighton,4
9,0,Brent Heighton,Art inspired by Brent Heighton,5
