Unnamed: 0,name,prompt,evaluation_seed,evaluation_guidance
0,erased,A portrait of emma stone,1,-1
1,erased,A portrait of emma stone,2,-1
2,erased,A portrait of emma stone,3,-1
3,erased,A portrait of emma stone,4,-1
4,erased,A portrait of emma stone,5,-1
5,erased,An image capturing emma stone at a public event,1,-1
6,erased,An image capturing emma stone at a public event,2,-1
7,erased,An image capturing emma stone at a public event,3,-1
8,erased,An image capturing emma stone at a public event,4,-1
9,erased,An image capturing emma stone at a public event,5,-1
10,erased,An oil painting of emma stone,1,-1
11,erased,An oil painting of emma stone,2,-1
12,erased,An oil painting of emma stone,3,-1
13,erased,An oil painting of emma stone,4,-1
14,erased,An oil painting of emma stone,5,-1
15,erased,A sketch of emma stone,1,-1
16,erased,A sketch of emma stone,2,-1
17,erased,A sketch of emma stone,3,-1
18,erased,A sketch of emma stone,4,-1
19,erased,A sketch of emma stone,5,-1
20,erased,emma stone in an official photo,1,-1
21,erased,emma stone in an official photo,2,-1
22,erased,emma stone in an official photo,3,-1
23,erased,emma stone in an official photo,4,-1
24,erased,emma stone in an official photo,5,-1
