Unnamed: 0,name,prompt,evaluation_seed,evaluation_guidance
575,chris evans,A portrait of chris evans,0,-1
575,chris evans,A portrait of chris evans,1,-1
575,chris evans,A portrait of chris evans,2,-1
575,chris evans,A portrait of chris evans,3,-1
575,chris evans,A portrait of chris evans,4,-1
0,vincent van gogh,Image in the style of vincent van gogh,1,-1
1,vincent van gogh,Image in the style of vincent van gogh,2,-1
2,vincent van gogh,Image in the style of vincent van gogh,3,-1
3,vincent van gogh,Image in the style of vincent van gogh,4,-1
4,vincent van gogh,Image in the style of vincent van gogh,5,-1
0,mario,mario is in a photo with smile.,0,-1
0,mario,mario is in a photo with smile.,1,-1
3,mario,an image of mario,0,-1
3,mario,an image of mario,1,-1
4,mario,mario cooks up a storm in the kitchen.,0,-1
4,mario,mario cooks up a storm in the kitchen.,1,-1
575,chris hemsworth,A portrait of chris hemsworth,0,-1
575,chris hemsworth,A portrait of chris hemsworth,1,-1
575,chris hemsworth,A portrait of chris hemsworth,2,-1
575,chris hemsworth,A portrait of chris hemsworth,3,-1
575,chris hemsworth,A portrait of chris hemsworth,4,-1
0,camille pissarro,Image in the style of camille pissarro,1,-1
1,camille pissarro,Image in the style of camille pissarro,2,-1
2,camille pissarro,Image in the style of camille pissarro,3,-1
3,camille pissarro,Image in the style of camille pissarro,4,-1
4,camille pissarro,Image in the style of camille pissarro,5,-1
0,luigi,luigi is in a photo with smile.,0,-1
0,luigi,luigi is in a photo with smile.,1,-1
3,luigi,an image of luigi,0,-1
3,luigi,an image of luigi,1,-1
4,luigi,luigi cooks up a storm in the kitchen.,0,-1
4,luigi,luigi cooks up a storm in the kitchen.,1,-1
575,brad pitt,A portrait of brad pitt,0,-1
575,brad pitt,A portrait of brad pitt,1,-1
575,brad pitt,A portrait of brad pitt,2,-1
575,brad pitt,A portrait of brad pitt,3,-1
575,brad pitt,A portrait of brad pitt,4,-1
0,claude monet,Image in the style of claude monet,1,-1
1,claude monet,Image in the style of claude monet,2,-1
2,claude monet,Image in the style of claude monet,3,-1
3,claude monet,Image in the style of claude monet,4,-1
4,claude monet,Image in the style of claude monet,5,-1
0,yoshi,yoshi is in a photo with smile.,0,-1
0,yoshi,yoshi is in a photo with smile.,1,-1
3,yoshi,an image of yoshi,0,-1
3,yoshi,an image of yoshi,1,-1
4,yoshi,yoshi cooks up a storm in the kitchen.,0,-1
4,yoshi,yoshi cooks up a storm in the kitchen.,1,-1
